 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Lofthiti (°C)	
19:00 29.12.2019 	 3,13 	 3,5 	 8 	 10 	 318 	 2,8 	  
18:50 29.12.2019 	 3,04 	 3,4 	 6 	 7 	 317 	 2,8 	  
18:40 29.12.2019 	 2,94 	 3,31 	 7 	 8 	 322 	 2,8 	  
18:30 29.12.2019 	 2,84 	 3,2 	 7 	 9 	 324 	 2,8 	  
18:20 29.12.2019 	 2,73 	 3,08 	 8 	 10 	 320 	 2,8 	  
18:10 29.12.2019 	 2,61 	 2,96 	 8 	 9 	 322 	 2,9 	  
18:00 29.12.2019 	 2,49 	 2,84 	 8 	 9 	 324 	 2,9 	  
17:50 29.12.2019 	 2,37 	 2,71 	 8 	 10 	 326 	 2,9 	  
17:40 29.12.2019 	 2,25 	 2,59 	 7 	 8 	 329 	 3,1 	  
17:30 29.12.2019 	 2,12 	 2,46 	 5 	 7 	 354 	 3,4 	  
17:20 29.12.2019 	 2 	 2,34 	 6 	 8 	 350 	 3,3 	  
17:10 29.12.2019 	 1,87 	 2,2 	 6 	 9 	 355 	 3,5 	  
17:00 29.12.2019 	 1,75 	 2,06 	 8 	 12 	 352 	 3,5 	  
16:50 29.12.2019 	 1,63 	 1,95 	 10 	 14 	 355 	 3,5 	  
16:40 29.12.2019 	 1,51 	 1,85 	 10 	 14 	 352 	 3,3 	  
16:30 29.12.2019 	 1,4 	 1,76 	 12 	 18 	 351 	 3,2 	  
16:20 29.12.2019 	 1,29 	 1,66 	 11 	 15 	 355 	 3,2 	  
16:10 29.12.2019 	 1,19 	 1,56 	 11 	 16 	 352 	 3,1 	  
16:00 29.12.2019 	 1,09 	 1,46 	 12 	 17 	 358 	 3 	  
15:50 29.12.2019 	 1,01 	 1,36 	 12 	 15 	 357 	 3 	  
15:40 29.12.2019 	 0,93 	 1,31 	 13 	 19 	 351 	 2,9 	  
15:30 29.12.2019 	 0,86 	 1,29 	 11 	 15 	 355 	 2,9 	  
15:20 29.12.2019 	 0,81 	 1,26 	 10 	 14 	 350 	 3,2 	  
15:10 29.12.2019 	 0,76 	 1,22 	 10 	 15 	 339 	 3 	  
15:00 29.12.2019 	 0,72 	 1,21 	 11 	 14 	 338 	 3,2 	  
14:50 29.12.2019 	 0,7 	 1,2 	 12 	 16 	 338 	 3,6 	  
14:40 29.12.2019 	 0,69 	 1,19 	 10 	 14 	 339 	 3,8 	  
14:30 29.12.2019 	 0,69 	 1,2 	 9 	 15 	 350 	 3,8 	  
14:20 29.12.2019 	 0,7 	 1,22 	 8 	 13 	 337 	 4,9 	  
14:10 29.12.2019 	 0,73 	 1,25 	 10 	 13 	 327 	 3,7 	  
14:00 29.12.2019 	 0,76 	 1,31 	 8 	 10 	 328 	 4,1 	  
13:50 29.12.2019 	 0,81 	 1,37 	 5 	 10 	 331 	 3,8 	  
13:40 29.12.2019 	 0,88 	 1,4 	 4 	 7 	 347 	 4,2 	  
13:30 29.12.2019 	 0,95 	 1,45 	 6 	 7 	 343 	 4,3 	  
13:20 29.12.2019 	 1,03 	 1,52 	 6 	 7 	 332 	 3,7 	  
13:10 29.12.2019 	 1,12 	 1,59 	 3 	 5 	 317 	 3,9 	  
13:00 29.12.2019 	 1,22 	 1,7 	 2 	 3 	 294 	 3,8 	  
12:50 29.12.2019 	 1,33 	 1,82 	 2 	 3 	 319 	 3,7 	  
12:40 29.12.2019 	 1,45 	 1,93 	 1 	 2 	 327 	 3,9 	  
12:30 29.12.2019 	 1,58 	 2,07 	 2 	 3 	 324 	 4,3 	  
12:20 29.12.2019 	 1,71 	 2,19 	 1 	 2 	 72 	 4,9 	  
12:10 29.12.2019 	 1,84 	 2,31 	 2 	 4 	 334 	 4,6 	  
12:00 29.12.2019 	 1,98 	 2,44 	 2 	 4 	 6 	 4,4 	  
11:50 29.12.2019 	 2,12 	 2,57 	 2 	 4 	 10 	 4,6 	  
11:40 29.12.2019 	 2,26 	 2,72 	 2 	 4 	 359 	 4,5 	  
11:30 29.12.2019 	 2,4 	 2,87 	 4 	 7 	 27 	 4,4 	  
11:20 29.12.2019 	 2,54 	 3,02 	 6 	 9 	 67 	 4,7 	  
11:10 29.12.2019 	 2,67 	 3,14 	 8 	 11 	 69 	 4,7 	  
11:00 29.12.2019 	 2,81 	 3,28 	 7 	 9 	 63 	 4,4 	  
10:50 29.12.2019 	 2,94 	 3,39 	 6 	 9 	 58 	 4,2 	  
10:40 29.12.2019 	 3,07 	 3,49 	 7 	 9 	 64 	 4 	  
10:30 29.12.2019 	 3,19 	 3,62 	 7 	 11 	 61 	 4 	  
10:20 29.12.2019 	 3,3 	 3,72 	 6 	 9 	 61 	 3,8 	  
10:10 29.12.2019 	 3,41 	 3,83 	 7 	 10 	 67 	 3,4 	  
10:00 29.12.2019 	 3,51 	 3,92 	 7 	 10 	 69 	 3,4 	  
09:50 29.12.2019 	 3,6 	 3,99 	 7 	 10 	 71 	 3,5 	  
09:40 29.12.2019 	 3,69 	 4,07 	 7 	 11 	 74 	 3,6 	  
09:30 29.12.2019 	 3,76 	 4,15 	 7 	 9 	 70 	 3,6 	  
09:20 29.12.2019 	 3,83 	 4,2 	 6 	 8 	 75 	 3,6 	  
09:10 29.12.2019 	 3,89 	 4,28 	 7 	 10 	 72 	 3,7 	  
09:00 29.12.2019 	 3,93 	 4,33 	 7 	 9 	 77 	 3,9 	  
08:50 29.12.2019 	 3,97 	 4,37 	 7 	 10 	 81 	 3,9 	  
08:40 29.12.2019 	 4 	 4,39 	 3 	 8 	 86 	 4,1 	  
08:30 29.12.2019 	 4,01 	 4,41 	 5 	 7 	 18 	 3,2 	  
08:20 29.12.2019 	 4,02 	 4,42 	 5 	 7 	 4 	 3,2 	  
08:10 29.12.2019 	 4,01 	 4,41 	 6 	 8 	 1 	 3,1 	  
08:00 29.12.2019 	 4 	 4,4 	 7 	 10 	 359 	 2,6 	  
07:50 29.12.2019 	 3,97 	 4,4 	 7 	 10 	 360 	 2,6 	  
07:40 29.12.2019 	 3,93 	 4,36 	 2 	 7 	 33 	 4 	  
07:30 29.12.2019 	 3,89 	 4,33 	 3 	 5 	 49 	 4,3 	  
07:20 29.12.2019 	 3,83 	 4,28 	 5 	 6 	 63 	 4,6 	  
07:10 29.12.2019 	 3,76 	 4,24 	 6 	 7 	 79 	 4,5 	  
07:00 29.12.2019 	 3,69 	 4,17 	 5 	 8 	 89 	 4,7 	  
06:50 29.12.2019 	 3,6 	 4,09 	 4 	 6 	 54 	 4,9 	  
06:40 29.12.2019 	 3,51 	 3,97 	 4 	 6 	 46 	 4,6 	  
06:30 29.12.2019 	 3,4 	 3,87 	 5 	 7 	 54 	 4,7 	  
06:20 29.12.2019 	 3,29 	 3,74 	 6 	 9 	 50 	 5,3 	  
06:10 29.12.2019 	 3,18 	 3,62 	 6 	 8 	 47 	 5,3 	  
06:00 29.12.2019 	 3,06 	 3,48 	 6 	 8 	 52 	 5,4 	  
05:50 29.12.2019 	 2,93 	 3,32 	 5 	 7 	 53 	 5,3 	  
05:40 29.12.2019 	 2,8 	 3,17 	 5 	 7 	 53 	 5,3 	  
05:30 29.12.2019 	 2,66 	 3,01 	 5 	 8 	 57 	 5,4 	  
05:20 29.12.2019 	 2,52 	 2,86 	 6 	 9 	 57 	 5,2 	  
05:10 29.12.2019 	 2,38 	 2,71 	 7 	 10 	 61 	 5,3 	  
05:00 29.12.2019 	 2,24 	 2,56 	 8 	 11 	 64 	 5,2 	  
04:50 29.12.2019 	 2,1 	 2,4 	 8 	 11 	 65 	 5,1 	  
04:40 29.12.2019 	 1,96 	 2,24 	 10 	 13 	 68 	 4,9 	  
04:30 29.12.2019 	 1,82 	 2,11 	 10 	 12 	 72 	 4,9 	  
04:20 29.12.2019 	 1,69 	 1,98 	 9 	 14 	 67 	 4,8 	  
04:10 29.12.2019 	 1,56 	 1,86 	 9 	 13 	 70 	 4,9 	  
04:00 29.12.2019 	 1,44 	 1,75 	 8 	 11 	 77 	 4,4 	  
03:50 29.12.2019 	 1,32 	 1,62 	 8 	 11 	 79 	 4,3 	  
03:40 29.12.2019 	 1,21 	 1,52 	 7 	 9 	 84 	 5 	  
03:30 29.12.2019 	 1,1 	 1,44 	 7 	 8 	 87 	 4,8 	  
03:20 29.12.2019 	 1,01 	 1,39 	 7 	 9 	 90 	 4,8 	  
03:10 29.12.2019 	 0,92 	 1,31 	 7 	 9 	 86 	 4,8 	  
03:00 29.12.2019 	 0,85 	 1,26 	 7 	 9 	 91 	 4,5 	  
02:50 29.12.2019 	 0,78 	 1,2 	 7 	 10 	 79 	 4,9 	  
02:40 29.12.2019 	 0,73 	 1,13 	 8 	 11 	 68 	 5,3 	  
02:30 29.12.2019 	 0,69 	 1,06 	 7 	 11 	 70 	 5,8 	  
02:20 29.12.2019 	 0,66 	 1,02 	 7 	 10 	 76 	 5 	  
02:10 29.12.2019 	 0,64 	 1 	 5 	 7 	 88 	 4,9 	  
02:00 29.12.2019 	 0,63 	 0,98 	 5 	 7 	 82 	 4,8 	  
01:50 29.12.2019 	 0,64 	 0,99 	 7 	 9 	 79 	 5 	  
01:40 29.12.2019 	 0,66 	 1,01 	 7 	 9 	 78 	 4,8 	  
01:30 29.12.2019 	 0,69 	 1,04 	 7 	 9 	 82 	 4,6 	  
01:20 29.12.2019 	 0,74 	 1,07 	 7 	 9 	 82 	 4,5 	  
01:10 29.12.2019 	 0,79 	 1,09 	 8 	 10 	 84 	 4,4 	  
01:00 29.12.2019 	 0,86 	 1,12 	 9 	 11 	 75 	 4,2 	  
00:50 29.12.2019 	 0,94 	 1,19 	 9 	 12 	 73 	 3,8 	  
00:40 29.12.2019 	 1,03 	 1,28 	 9 	 12 	 78 	 4,4 	  
00:30 29.12.2019 	 1,12 	 1,4 	 9 	 12 	 83 	 4,2 	  
00:20 29.12.2019 	 1,23 	 1,53 	 7 	 9 	 77 	 3,8 	  
00:10 29.12.2019 	 1,34 	 1,66 	 8 	 10 	 68 	 4 	  
00:00 29.12.2019 	 1,45 	 1,81 	 9 	 11 	 66 	 3,9 	  
23:50 28.12.2019 	 1,58 	 1,94 	 10 	 12 	 68 	 4 	  
23:40 28.12.2019 	 1,7 	 2,08 	 9 	 12 	 77 	 4,2 	  
23:30 28.12.2019 	 1,83 	 2,2 	 8 	 10 	 79 	 3,6 	  
23:20 28.12.2019 	 1,96 	 2,34 	 9 	 11 	 75 	 3,7 	  
23:10 28.12.2019 	 2,1 	 2,5 	 9 	 12 	 73 	 3,8 	  
23:00 28.12.2019 	 2,23 	 2,66 	 10 	 12 	 72 	 3,6 	  
22:50 28.12.2019 	 2,36 	 2,77 	 9 	 11 	 73 	 3,6 	  
22:40 28.12.2019 	 2,49 	 2,87 	 8 	 10 	 74 	 3,3 	  
22:30 28.12.2019 	 2,61 	 2,96 	 9 	 10 	 73 	 3,3 	  
22:20 28.12.2019 	 2,74 	 3,08 	 7 	 10 	 75 	 3,3 	  
22:10 28.12.2019 	 2,85 	 3,17 	 7 	 10 	 73 	 3,2 	  
22:00 28.12.2019 	 2,96 	 3,3 	 8 	 11 	 74 	 3,2 	  
21:50 28.12.2019 	 3,07 	 3,41 	 7 	 9 	 77 	 3,3 	  
21:40 28.12.2019 	 3,17 	 3,5 	 7 	 9 	 82 	 3,3 	  
21:30 28.12.2019 	 3,26 	 3,58 	 7 	 9 	 77 	 3,2 	  
21:20 28.12.2019 	 3,34 	 3,64 	 8 	 10 	 71 	 3,2 	  
21:10 28.12.2019 	 3,42 	 3,68 	 9 	 10 	 72 	 2,9 	  
21:00 28.12.2019 	 3,49 	 3,76 	 8 	 10 	 74 	 3 	  
20:50 28.12.2019 	 3,54 	 3,82 	 8 	 10 	 73 	 2,9 	  
20:40 28.12.2019 	 3,59 	 3,88 	 6 	 7 	 75 	 3 	  
20:30 28.12.2019 	 3,63 	 3,92 	 5 	 6 	 70 	 3,1 	  
20:20 28.12.2019 	 3,66 	 3,95 	 5 	 6 	 73 	 3,1 	  
20:10 28.12.2019 	 3,68 	 3,96 	 5 	 6 	 81 	 2,9 	  
20:00 28.12.2019 	 3,68 	 3,98 	 6 	 7 	 82 	 2,9 	  
19:50 28.12.2019 	 3,68 	 4 	 6 	 8 	 79 	 2,9 	  
19:40 28.12.2019 	 3,67 	 3,99 	 6 	 7 	 80 	 2,8 	  
19:30 28.12.2019 	 3,65 	 3,99 	 7 	 9 	 79 	 2,9 	  
19:20 28.12.2019 	 3,61 	 3,96 	 7 	 8 	 71 	 3,1 	  
19:10 28.12.2019 	 3,57 	 3,91 	 6 	 7 	 76 	 3 	  
19:00 28.12.2019 	 3,51 	 3,84 	 4 	 6 	 90 	 2,9 	  
18:50 28.12.2019 	 3,45 	 3,74 	 3 	 4 	 109 	 3,2 	  
18:40 28.12.2019 	 3,37 	 3,65 	 5 	 6 	 99 	 3,1 	  
18:30 28.12.2019 	 3,29 	 3,56 	 5 	 7 	 79 	 3,2 	  
18:20 28.12.2019 	 3,2 	 3,48 	 3 	 5 	 78 	 2,8 	  
18:10 28.12.2019 	 3,1 	 3,37 	 1 	 3 	 96 	 2,7 	  
18:00 28.12.2019 	 2,99 	 3,24 	 2 	 3 	 109 	 2,6 	  
17:50 28.12.2019 	 2,88 	 3,12 	 3 	 4 	 90 	 2,7 	  
17:40 28.12.2019 	 2,76 	 3,01 	 4 	 5 	 88 	 2,6 	  
17:30 28.12.2019 	 2,63 	 2,86 	 3 	 4 	 96 	 2,5 	  
17:20 28.12.2019 	 2,5 	 2,76 	 3 	 4 	 99 	 2,4 	  
17:10 28.12.2019 	 2,37 	 2,62 	 3 	 4 	 110 	 2,3 	  
17:00 28.12.2019 	 2,23 	 2,47 	 2 	 3 	 103 	 2,4 	  
16:50 28.12.2019 	 2,1 	 2,32 	 2 	 3 	 107 	 2,3 	  
16:40 28.12.2019 	 1,96 	 2,16 	 3 	 3 	 116 	 2,5 	  
16:30 28.12.2019 	 1,83 	 2,02 	 2 	 3 	 122 	 2,4 	  
16:20 28.12.2019 	 1,69 	 1,89 	 3 	 3 	 122 	 2,3 	  
16:10 28.12.2019 	 1,56 	 1,78 	 2 	 3 	 103 	 2,2 	  
16:00 28.12.2019 	 1,44 	 1,66 	 1 	 2 	 101 	 2,1 	  
15:50 28.12.2019 	 1,32 	 1,55 	 1 	 1 	 67 	 2 	  
15:40 28.12.2019 	 1,2 	 1,43 	 1 	 1 	 57 	 2,2 	  
15:30 28.12.2019 	 1,09 	 1,32 	 1 	 2 	 9 	 2,2 	  
15:20 28.12.2019 	 0,99 	 1,23 	 1 	 2 	 45 	 2,2 	  
15:10 28.12.2019 	 0,9 	 1,15 	 2 	 2 	 46 	 2,2 	  
15:00 28.12.2019 	 0,82 	 1,1 	 2 	 3 	 39 	 2,2 	  
14:50 28.12.2019 	 0,75 	 1,02 	 2 	 2 	 26 	 2,3 	  
14:40 28.12.2019 	 0,69 	 0,96 	 2 	 3 	 12 	 2,2 	  
14:30 28.12.2019 	 0,64 	 0,91 	 2 	 3 	 16 	 2,4 	  
14:20 28.12.2019 	 0,61 	 0,91 	 2 	 3 	 24 	 2,4 	  
14:10 28.12.2019 	 0,58 	 0,9 	 2 	 3 	 29 	 2,6 	  
14:00 28.12.2019 	 0,57 	 0,9 	 3 	 3 	 28 	 2,6 	  
13:50 28.12.2019 	 0,57 	 0,92 	 2 	 3 	 36 	 2,7 	  
13:40 28.12.2019 	 0,59 	 0,96 	 2 	 3 	 42 	 2,8 	  
13:30 28.12.2019 	 0,62 	 1 	 2 	 3 	 51 	 2,9 	  
13:20 28.12.2019 	 0,66 	 1,04 	 3 	 4 	 52 	 3,1 	  
13:10 28.12.2019 	 0,72 	 1,09 	 3 	 4 	 76 	 3,3 	  
13:00 28.12.2019 	 0,79 	 1,16 	 4 	 5 	 116 	 3,5 	  
12:50 28.12.2019 	 0,87 	 1,24 	 4 	 6 	 113 	 3,7 	  
12:40 28.12.2019 	 0,96 	 1,32 	 4 	 6 	 90 	 4,1 	  
12:30 28.12.2019 	 1,06 	 1,4 	 4 	 6 	 82 	 4,1 	  
12:20 28.12.2019 	 1,17 	 1,49 	 3 	 6 	 115 	 4,3 	  
12:10 28.12.2019 	 1,29 	 1,59 	 1 	 2 	 166 	 4,3 	  
12:00 28.12.2019 	 1,42 	 1,71 	 1 	 2 	 179 	 4,4 	  
11:50 28.12.2019 	 1,55 	 1,86 	 2 	 3 	 135 	 4,5 	  
11:40 28.12.2019 	 1,69 	 2,02 	 2 	 3 	 139 	 4,6 	  
11:30 28.12.2019 	 1,83 	 2,15 	 2 	 3 	 143 	 4,5 	  
11:20 28.12.2019 	 1,98 	 2,32 	 4 	 5 	 125 	 4,5 	  
11:10 28.12.2019 	 2,13 	 2,46 	 5 	 6 	 106 	 4,4 	  
11:00 28.12.2019 	 2,28 	 2,65 	 5 	 7 	 98 	 4,2 	  
10:50 28.12.2019 	 2,43 	 2,79 	 6 	 8 	 91 	 4 	  
10:40 28.12.2019 	 2,58 	 2,94 	 6 	 7 	 88 	 4,1 	  
10:30 28.12.2019 	 2,72 	 3,12 	 6 	 8 	 79 	 4,3 	  
10:20 28.12.2019 	 2,86 	 3,24 	 7 	 9 	 80 	 4,4 	  
10:10 28.12.2019 	 3 	 3,39 	 8 	 10 	 79 	 4,4 	  
10:00 28.12.2019 	 3,14 	 3,54 	 8 	 9 	 84 	 4,2 	  
09:50 28.12.2019 	 3,26 	 3,68 	 8 	 10 	 80 	 4,3 	  
09:40 28.12.2019 	 3,38 	 3,8 	 8 	 11 	 72 	 4,1 	  
09:30 28.12.2019 	 3,5 	 3,92 	 8 	 11 	 76 	 4,1 	  
09:20 28.12.2019 	 3,6 	 4 	 9 	 11 	 81 	 3,9 	  
09:10 28.12.2019 	 3,7 	 4,1 	 8 	 11 	 75 	 3,8 	  
09:00 28.12.2019 	 3,79 	 4,15 	 8 	 10 	 75 	 3,8 	  
08:50 28.12.2019 	 3,86 	 4,22 	 8 	 10 	 77 	 3,9 	  
08:40 28.12.2019 	 3,93 	 4,28 	 8 	 10 	 73 	 4 	  
08:30 28.12.2019 	 3,99 	 4,33 	 8 	 10 	 71 	 3,9 	  
08:20 28.12.2019 	 4,04 	 4,37 	 8 	 10 	 72 	 4 	  
08:10 28.12.2019 	 4,08 	 4,41 	 7 	 10 	 74 	 4,4 	  
08:00 28.12.2019 	 4,1 	 4,44 	 6 	 8 	 83 	 4,6 	  
07:50 28.12.2019 	 4,12 	 4,49 	 7 	 9 	 81 	 4,8 	  
07:40 28.12.2019 	 4,12 	 4,49 	 6 	 9 	 78 	 4,6 	  
07:30 28.12.2019 	 4,12 	 4,51 	 5 	 6 	 79 	 4,8 	  
07:20 28.12.2019 	 4,1 	 4,5 	 5 	 6 	 92 	 4,7 	  
07:10 28.12.2019 	 4,07 	 4,5 	 6 	 8 	 113 	 4,9 	  
07:00 28.12.2019 	 4,03 	 4,48 	 7 	 9 	 123 	 5,1 	  
06:50 28.12.2019 	 3,98 	 4,43 	 7 	 10 	 110 	 5,4 	  
06:40 28.12.2019 	 3,91 	 4,36 	 4 	 6 	 97 	 4,9 	  
06:30 28.12.2019 	 3,84 	 4,3 	 4 	 5 	 106 	 4,8 	  
06:20 28.12.2019 	 3,76 	 4,19 	 4 	 5 	 101 	 5,5 	  
06:10 28.12.2019 	 3,67 	 4,09 	 3 	 4 	 95 	 4,8 	  
06:00 28.12.2019 	 3,56 	 3,98 	 3 	 4 	 84 	 4,9 	  
05:50 28.12.2019 	 3,45 	 3,87 	 3 	 4 	 91 	 4,3 	  
05:40 28.12.2019 	 3,34 	 3,73 	 4 	 5 	 80 	 4,9 	  
05:30 28.12.2019 	 3,21 	 3,59 	 4 	 4 	 80 	 4,8 	  
05:20 28.12.2019 	 3,08 	 3,43 	 4 	 5 	 82 	 4,6 	  
05:10 28.12.2019 	 2,94 	 3,26 	 5 	 5 	 89 	 4,5 	  
05:00 28.12.2019 	 2,8 	 3,1 	 4 	 5 	 76 	 5,1 	  
04:50 28.12.2019 	 2,66 	 2,94 	 3 	 5 	 76 	 4,8 	  
04:40 28.12.2019 	 2,51 	 2,81 	 2 	 3 	 116 	 5,1 	  
04:30 28.12.2019 	 2,36 	 2,65 	 2 	 3 	 143 	 5,5 	  
04:20 28.12.2019 	 2,21 	 2,49 	 3 	 5 	 155 	 5,7 	  
04:10 28.12.2019 	 2,06 	 2,32 	 4 	 6 	 139 	 5,8 	  
04:00 28.12.2019 	 1,91 	 2,17 	 3 	 3 	 133 	 5,3 	  
03:50 28.12.2019 	 1,77 	 2,04 	 3 	 4 	 137 	 5,4 	  
03:40 28.12.2019 	 1,63 	 1,93 	 3 	 4 	 135 	 5,5 	  
03:30 28.12.2019 	 1,49 	 1,83 	 3 	 5 	 139 	 5,5 	  
03:20 28.12.2019 	 1,36 	 1,69 	 3 	 4 	 138 	 5,6 	  
03:10 28.12.2019 	 1,24 	 1,56 	 4 	 4 	 136 	 5,4 	  
03:00 28.12.2019 	 1,12 	 1,45 	 3 	 3 	 134 	 4,9 	  
02:50 28.12.2019 	 1,01 	 1,37 	 3 	 4 	 136 	 4,9 	  
02:40 28.12.2019 	 0,91 	 1,27 	 3 	 4 	 133 	 4,8 	  
02:30 28.12.2019 	 0,83 	 1,17 	 3 	 3 	 133 	 4,9 	  
02:20 28.12.2019 	 0,75 	 1,08 	 3 	 4 	 129 	 5 	  
02:10 28.12.2019 	 0,68 	 1,02 	 3 	 3 	 130 	 4,9 	  
02:00 28.12.2019 	 0,63 	 0,96 	 3 	 4 	 139 	 5,5 	  
01:50 28.12.2019 	 0,59 	 0,94 	 3 	 4 	 131 	 5,1 	  
01:40 28.12.2019 	 0,56 	 0,93 	 2 	 3 	 129 	 5,2 	  
01:30 28.12.2019 	 0,54 	 0,93 	 3 	 4 	 136 	 5,1 	  
01:20 28.12.2019 	 0,54 	 0,93 	 4 	 4 	 136 	 4,9 	  
01:10 28.12.2019 	 0,55 	 0,95 	 3 	 4 	 133 	 4,9 	  
01:00 28.12.2019 	 0,58 	 0,95 	 3 	 4 	 135 	 5,1 	  
00:50 28.12.2019 	 0,62 	 1 	 4 	 5 	 137 	 5 	  
00:40 28.12.2019 	 0,67 	 1,05 	 3 	 4 	 136 	 4,8 	  
00:30 28.12.2019 	 0,73 	 1,12 	 3 	 3 	 134 	 4,3 	  
00:20 28.12.2019 	 0,8 	 1,2 	 2 	 3 	 123 	 3,8 	  
00:10 28.12.2019 	 0,89 	 1,28 	 2 	 3 	 124 	 4,5 	  
00:00 28.12.2019 	 0,98 	 1,37 	 2 	 3 	 129 	 4,2 	  
23:50 27.12.2019 	 1,08 	 1,47 	 2 	 2 	 138 	 5,2 	  
23:40 27.12.2019 	 1,2 	 1,57 	 2 	 3 	 150 	 5,7 	  
23:30 27.12.2019 	 1,31 	 1,7 	 2 	 3 	 151 	 5,6 	  
23:20 27.12.2019 	 1,44 	 1,83 	 2 	 4 	 171 	 6,1 	  
23:10 27.12.2019 	 1,57 	 1,98 	 3 	 5 	 187 	 6,2 	  
23:00 27.12.2019 	 1,7 	 2,12 	 3 	 4 	 187 	 6,1 	  
22:50 27.12.2019 	 1,84 	 2,26 	 2 	 4 	 172 	 6,1 	  
22:40 27.12.2019 	 1,98 	 2,4 	 3 	 5 	 184 	 6,2 	  
22:30 27.12.2019 	 2,11 	 2,53 	 3 	 5 	 183 	 6,1 	  
22:20 27.12.2019 	 2,25 	 2,68 	 3 	 5 	 184 	 6,1 	  
22:10 27.12.2019 	 2,39 	 2,83 	 3 	 4 	 187 	 6,2 	  
22:00 27.12.2019 	 2,52 	 2,99 	 3 	 4 	 181 	 6,1 	  
21:50 27.12.2019 	 2,65 	 3,13 	 3 	 4 	 190 	 6,2 	  
21:40 27.12.2019 	 2,78 	 3,26 	 3 	 5 	 195 	 6,1 	  
21:30 27.12.2019 	 2,9 	 3,39 	 3 	 5 	 207 	 6,1 	  
21:20 27.12.2019 	 3,01 	 3,5 	 3 	 5 	 199 	 6,2 	  
21:10 27.12.2019 	 3,12 	 3,63 	 3 	 5 	 196 	 6,3 	  
21:00 27.12.2019 	 3,23 	 3,73 	 3 	 4 	 191 	 6,1 	  
20:50 27.12.2019 	 3,32 	 3,81 	 3 	 4 	 191 	 6,2 	  
20:40 27.12.2019 	 3,41 	 3,88 	 3 	 4 	 193 	 6,2 	  
20:30 27.12.2019 	 3,49 	 3,94 	 3 	 4 	 192 	 6,2 	  
20:20 27.12.2019 	 3,55 	 4,01 	 3 	 5 	 199 	 6,3 	  
20:10 27.12.2019 	 3,61 	 4,06 	 4 	 6 	 203 	 6,3 	  
20:00 27.12.2019 	 3,66 	 4,09 	 3 	 5 	 205 	 6,1 	  
19:50 27.12.2019 	 3,7 	 4,14 	 4 	 6 	 209 	 6,2 	  
19:40 27.12.2019 	 3,73 	 4,15 	 4 	 6 	 205 	 6,1 	  
19:30 27.12.2019 	 3,75 	 4,16 	 4 	 6 	 210 	 6,1 	  
19:20 27.12.2019 	 3,76 	 4,16 	 4 	 7 	 209 	 6,1 	  
19:10 27.12.2019 	 3,75 	 4,15 	 4 	 7 	 210 	 6 	  
19:00 27.12.2019 	 3,74 	 4,14 	 5 	 7 	 214 	 6 	  
18:50 27.12.2019 	 3,71 	 4,11 	 5 	 8 	 214 	 6,1 	  
18:40 27.12.2019 	 3,67 	 4,08 	 5 	 7 	 216 	 6,1 	  
18:30 27.12.2019 	 3,63 	 4,04 	 5 	 8 	 221 	 6,1 	  
18:20 27.12.2019 	 3,57 	 3,99 	 6 	 8 	 223 	 5,9 	  
18:10 27.12.2019 	 3,5 	 3,91 	 6 	 9 	 220 	 5,9 	  
18:00 27.12.2019 	 3,42 	 3,84 	 6 	 9 	 221 	 5,8 	  
17:50 27.12.2019 	 3,33 	 3,75 	 5 	 8 	 222 	 5,6 	  
17:40 27.12.2019 	 3,24 	 3,65 	 5 	 7 	 224 	 5,4 	  
17:30 27.12.2019 	 3,13 	 3,56 	 5 	 8 	 226 	 5,4 	  
17:20 27.12.2019 	 3,02 	 3,46 	 5 	 8 	 226 	 5,5 	  
17:10 27.12.2019 	 2,9 	 3,35 	 5 	 7 	 228 	 5,4 	  
17:00 27.12.2019 	 2,77 	 3,21 	 4 	 6 	 232 	 5,4 	  
16:50 27.12.2019 	 2,64 	 3,06 	 4 	 6 	 237 	 5,4 	  
16:40 27.12.2019 	 2,5 	 2,92 	 4 	 7 	 235 	 5,1 	  
16:30 27.12.2019 	 2,36 	 2,78 	 4 	 7 	 228 	 5,4 	  
16:20 27.12.2019 	 2,22 	 2,64 	 4 	 6 	 216 	 5,2 	  
16:10 27.12.2019 	 2,08 	 2,49 	 4 	 6 	 215 	 5,1 	  
16:00 27.12.2019 	 1,94 	 2,34 	 4 	 6 	 219 	 5,1 	  
15:50 27.12.2019 	 1,8 	 2,18 	 4 	 7 	 225 	 5,2 	  
15:40 27.12.2019 	 1,66 	 2,03 	 4 	 6 	 226 	 5 	  
15:30 27.12.2019 	 1,52 	 1,89 	 4 	 6 	 233 	 5,1 	  
15:20 27.12.2019 	 1,39 	 1,78 	 5 	 7 	 241 	 5,1 	  
15:10 27.12.2019 	 1,26 	 1,66 	 5 	 7 	 253 	 5,1 	  
15:00 27.12.2019 	 1,14 	 1,55 	 5 	 6 	 255 	 4,8 	  
14:50 27.12.2019 	 1,03 	 1,45 	 5 	 7 	 250 	 4,8 	  
14:40 27.12.2019 	 0,93 	 1,35 	 5 	 7 	 249 	 4,8 	  
14:30 27.12.2019 	 0,83 	 1,27 	 5 	 7 	 257 	 4,6 	  
14:20 27.12.2019 	 0,75 	 1,21 	 6 	 7 	 261 	 4,6 	  
14:10 27.12.2019 	 0,68 	 1,16 	 6 	 7 	 264 	 4,6 	  
