 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Lofthiti (degC)	
19:00 14.01.2019 	 1,41 	 1,84 	 6 	 10 	 207 	 2,5 	  
18:50 14.01.2019 	 1,39 	 1,85 	 7 	 14 	 214 	 2,4 	  
18:40 14.01.2019 	 1,37 	 1,81 	 8 	 14 	 214 	 2,2 	  
18:30 14.01.2019 	 1,36 	 1,78 	 6 	 12 	 207 	 2,6 	  
18:20 14.01.2019 	 1,35 	 1,75 	 6 	 10 	 200 	 2,5 	  
18:10 14.01.2019 	 1,35 	 1,75 	 7 	 10 	 201 	 2,5 	  
18:00 14.01.2019 	 1,35 	 1,8 	 8 	 13 	 210 	 2,3 	  
17:50 14.01.2019 	 1,37 	 1,83 	 6 	 9 	 218 	 3,1 	  
17:40 14.01.2019 	 1,38 	 1,82 	 5 	 8 	 202 	 2,9 	  
17:30 14.01.2019 	 1,41 	 1,83 	 5 	 9 	 190 	 2,6 	  
17:20 14.01.2019 	 1,44 	 1,89 	 6 	 10 	 204 	 2,9 	  
17:10 14.01.2019 	 1,47 	 1,93 	 7 	 11 	 213 	 2,3 	  
17:00 14.01.2019 	 1,51 	 1,99 	 3 	 10 	 164 	 2,5 	  
16:50 14.01.2019 	 1,56 	 2 	 2 	 4 	 154 	 1,7 	  
16:40 14.01.2019 	 1,61 	 2,05 	 3 	 6 	 186 	 1,8 	  
16:30 14.01.2019 	 1,66 	 2,1 	 5 	 9 	 199 	 1,9 	  
16:20 14.01.2019 	 1,72 	 2,13 	 4 	 7 	 158 	 1,7 	  
16:10 14.01.2019 	 1,78 	 2,2 	 4 	 8 	 165 	 2 	  
16:00 14.01.2019 	 1,85 	 2,28 	 8 	 12 	 132 	 2 	  
15:50 14.01.2019 	 1,92 	 2,36 	 9 	 15 	 125 	 1,5 	  
15:40 14.01.2019 	 1,99 	 2,41 	 13 	 18 	 118 	 1,5 	  
15:30 14.01.2019 	 2,06 	 2,47 	 13 	 18 	 116 	 1,4 	  
15:20 14.01.2019 	 2,13 	 2,54 	 13 	 17 	 104 	 1,4 	  
15:10 14.01.2019 	 2,2 	 2,61 	 13 	 17 	 95 	 1,4 	  
15:00 14.01.2019 	 2,28 	 2,67 	 15 	 19 	 91 	 1,2 	  
14:50 14.01.2019 	 2,35 	 2,72 	 15 	 18 	 86 	 0,8 	  
14:40 14.01.2019 	 2,42 	 2,78 	 15 	 19 	 84 	 0,7 	  
14:30 14.01.2019 	 2,49 	 2,83 	 15 	 20 	 80 	 0,9 	  
14:20 14.01.2019 	 2,56 	 2,91 	 14 	 20 	 77 	 0,5 	  
14:10 14.01.2019 	 2,62 	 2,97 	 13 	 18 	 78 	 0,5 	  
14:00 14.01.2019 	 2,69 	 3,05 	 15 	 21 	 75 	 0,4 	  
13:50 14.01.2019 	 2,75 	 3,12 	 14 	 19 	 77 	 0,4 	  
13:40 14.01.2019 	 2,81 	 3,18 	 14 	 18 	 80 	 0,4 	  
13:30 14.01.2019 	 2,86 	 3,25 	 14 	 18 	 79 	 0,3 	  
13:20 14.01.2019 	 2,91 	 3,3 	 14 	 18 	 81 	 0,2 	  
13:10 14.01.2019 	 2,95 	 3,34 	 13 	 17 	 82 	 0,3 	  
13:00 14.01.2019 	 3 	 3,36 	 12 	 16 	 77 	 0,5 	  
12:50 14.01.2019 	 3,03 	 3,4 	 13 	 17 	 77 	 0,1 	  
12:40 14.01.2019 	 3,06 	 3,41 	 12 	 16 	 78 	 -0 	  
12:30 14.01.2019 	 3,09 	 3,45 	 12 	 17 	 75 	 0,1 	  
12:20 14.01.2019 	 3,11 	 3,45 	 13 	 17 	 74 	 -0,1 	  
12:10 14.01.2019 	 3,12 	 3,46 	 12 	 16 	 77 	 -0,1 	  
12:00 14.01.2019 	 3,13 	 3,46 	 12 	 16 	 80 	 -0,1 	  
11:50 14.01.2019 	 3,13 	 3,48 	 11 	 15 	 81 	 -0,2 	  
11:40 14.01.2019 	 3,13 	 3,47 	 11 	 14 	 79 	 -0,1 	  
11:30 14.01.2019 	 3,12 	 3,44 	 10 	 13 	 78 	 -0,3 	  
11:20 14.01.2019 	 3,1 	 3,42 	 10 	 13 	 80 	 -0,2 	  
11:10 14.01.2019 	 3,08 	 3,37 	 11 	 14 	 78 	 -0,3 	  
11:00 14.01.2019 	 3,06 	 3,35 	 12 	 15 	 76 	 -0,5 	  
10:50 14.01.2019 	 3,03 	 3,28 	 11 	 15 	 74 	 -0,4 	  
10:40 14.01.2019 	 2,99 	 3,26 	 11 	 14 	 74 	 -0,7 	  
10:30 14.01.2019 	 2,95 	 3,22 	 11 	 14 	 74 	 -0,6 	  
10:20 14.01.2019 	 2,91 	 3,18 	 10 	 14 	 89 	 -0,7 	  
10:10 14.01.2019 	 2,86 	 3,1 	 10 	 14 	 84 	 -0,6 	  
10:00 14.01.2019 	 2,81 	 3,05 	 10 	 13 	 86 	 -0,4 	  
09:50 14.01.2019 	 2,75 	 3,02 	 10 	 13 	 87 	 -0,9 	  
09:40 14.01.2019 	 2,69 	 2,97 	 10 	 12 	 87 	 -0,9 	  
09:30 14.01.2019 	 2,63 	 2,9 	 11 	 14 	 80 	 -1 	  
09:20 14.01.2019 	 2,56 	 2,82 	 11 	 14 	 80 	 -0,9 	  
09:10 14.01.2019 	 2,5 	 2,75 	 10 	 13 	 86 	 -1 	  
09:00 14.01.2019 	 2,43 	 2,69 	 11 	 13 	 88 	 -1 	  
08:50 14.01.2019 	 2,36 	 2,63 	 10 	 13 	 87 	 -1 	  
08:40 14.01.2019 	 2,29 	 2,56 	 10 	 11 	 83 	 -1,2 	  
08:30 14.01.2019 	 2,22 	 2,5 	 10 	 12 	 81 	 -1,3 	  
08:20 14.01.2019 	 2,16 	 2,43 	 10 	 12 	 76 	 -1,4 	  
08:10 14.01.2019 	 2,09 	 2,35 	 9 	 11 	 81 	 -1,2 	  
08:00 14.01.2019 	 2,02 	 2,29 	 10 	 13 	 85 	 -1,2 	  
07:50 14.01.2019 	 1,95 	 2,2 	 10 	 12 	 88 	 -1,2 	  
07:40 14.01.2019 	 1,89 	 2,12 	 9 	 11 	 84 	 -1,7 	  
07:30 14.01.2019 	 1,83 	 2,09 	 9 	 11 	 82 	 -1,9 	  
07:20 14.01.2019 	 1,77 	 2 	 9 	 11 	 83 	 -1,5 	  
07:10 14.01.2019 	 1,72 	 1,91 	 9 	 11 	 82 	 -1,7 	  
07:00 14.01.2019 	 1,66 	 1,85 	 9 	 11 	 71 	 -1,8 	  
06:50 14.01.2019 	 1,62 	 1,78 	 10 	 14 	 67 	 -2 	  
06:40 14.01.2019 	 1,57 	 1,71 	 11 	 13 	 74 	 -1,8 	  
06:30 14.01.2019 	 1,54 	 1,68 	 11 	 14 	 78 	 -1,5 	  
06:20 14.01.2019 	 1,51 	 1,65 	 11 	 13 	 78 	 -1,7 	  
06:10 14.01.2019 	 1,48 	 1,63 	 11 	 13 	 75 	 -1,9 	  
06:00 14.01.2019 	 1,46 	 1,6 	 11 	 13 	 77 	 -2 	  
05:50 14.01.2019 	 1,44 	 1,59 	 11 	 14 	 81 	 -2 	  
05:40 14.01.2019 	 1,43 	 1,61 	 11 	 13 	 78 	 -2 	  
05:30 14.01.2019 	 1,43 	 1,61 	 10 	 13 	 77 	 -1,9 	  
05:20 14.01.2019 	 1,44 	 1,61 	 11 	 13 	 78 	 -2,1 	  
05:10 14.01.2019 	 1,45 	 1,6 	 10 	 13 	 78 	 -2 	  
05:00 14.01.2019 	 1,46 	 1,6 	 10 	 12 	 82 	 -2,1 	  
04:50 14.01.2019 	 1,49 	 1,64 	 10 	 13 	 76 	 -2,3 	  
04:40 14.01.2019 	 1,52 	 1,67 	 11 	 13 	 75 	 -2,3 	  
04:30 14.01.2019 	 1,55 	 1,68 	 10 	 12 	 79 	 -2,4 	  
04:20 14.01.2019 	 1,59 	 1,73 	 11 	 13 	 77 	 -2,5 	  
04:10 14.01.2019 	 1,64 	 1,77 	 9 	 12 	 80 	 -2,3 	  
04:00 14.01.2019 	 1,69 	 1,82 	 8 	 10 	 84 	 -2,1 	  
03:50 14.01.2019 	 1,74 	 1,9 	 8 	 10 	 85 	 -2,2 	  
03:40 14.01.2019 	 1,8 	 1,95 	 8 	 10 	 89 	 -2,5 	  
03:30 14.01.2019 	 1,87 	 2,02 	 10 	 12 	 89 	 -2,3 	  
03:20 14.01.2019 	 1,93 	 2,08 	 10 	 12 	 87 	 -2,4 	  
03:10 14.01.2019 	 2 	 2,14 	 9 	 12 	 81 	 -2,7 	  
03:00 14.01.2019 	 2,07 	 2,2 	 9 	 12 	 77 	 -2,7 	  
02:50 14.01.2019 	 2,14 	 2,25 	 9 	 11 	 78 	 -2,9 	  
02:40 14.01.2019 	 2,21 	 2,29 	 8 	 10 	 77 	 -2,6 	  
02:30 14.01.2019 	 2,28 	 2,37 	 9 	 11 	 77 	 -2,8 	  
02:20 14.01.2019 	 2,35 	 2,41 	 8 	 11 	 79 	 -2,6 	  
02:10 14.01.2019 	 2,42 	 2,48 	 9 	 11 	 79 	 -2,9 	  
02:00 14.01.2019 	 2,49 	 2,57 	 9 	 11 	 82 	 -2,8 	  
01:50 14.01.2019 	 2,56 	 2,64 	 8 	 10 	 81 	 -2,8 	  
01:40 14.01.2019 	 2,63 	 2,73 	 9 	 11 	 78 	 -2,8 	  
01:30 14.01.2019 	 2,69 	 2,78 	 9 	 11 	 78 	 -2,7 	  
01:20 14.01.2019 	 2,75 	 2,86 	 9 	 11 	 76 	 -2,5 	  
01:10 14.01.2019 	 2,81 	 2,94 	 9 	 11 	 74 	 -2,4 	  
01:00 14.01.2019 	 2,86 	 3,03 	 10 	 12 	 72 	 -2,4 	  
00:50 14.01.2019 	 2,91 	 3,1 	 9 	 11 	 71 	 -2,1 	  
00:40 14.01.2019 	 2,95 	 3,17 	 8 	 10 	 73 	 -2 	  
00:30 14.01.2019 	 2,99 	 3,23 	 8 	 10 	 74 	 -2,1 	  
00:20 14.01.2019 	 3,02 	 3,26 	 7 	 9 	 76 	 -2 	  
00:10 14.01.2019 	 3,05 	 3,27 	 7 	 8 	 76 	 -2,1 	  
00:00 14.01.2019 	 3,07 	 3,29 	 7 	 8 	 75 	 -2 	  
23:50 13.01.2019 	 3,08 	 3,3 	 6 	 8 	 78 	 -2,1 	  
23:40 13.01.2019 	 3,09 	 3,3 	 4 	 6 	 86 	 -2,1 	  
23:30 13.01.2019 	 3,1 	 3,3 	 4 	 4 	 87 	 -1,9 	  
23:20 13.01.2019 	 3,09 	 3,29 	 3 	 4 	 87 	 -1,9 	  
23:10 13.01.2019 	 3,08 	 3,26 	 3 	 4 	 99 	 -1,6 	  
23:00 13.01.2019 	 3,07 	 3,2 	 3 	 4 	 106 	 -1,6 	  
22:50 13.01.2019 	 3,05 	 3,18 	 3 	 4 	 120 	 -1,7 	  
22:40 13.01.2019 	 3,02 	 3,16 	 3 	 4 	 134 	 -1,9 	  
22:30 13.01.2019 	 2,99 	 3,13 	 3 	 4 	 130 	 -2 	  
22:20 13.01.2019 	 2,95 	 3,1 	 4 	 4 	 104 	 -2 	  
22:10 13.01.2019 	 2,9 	 3,09 	 4 	 5 	 88 	 -2,1 	  
22:00 13.01.2019 	 2,85 	 3,05 	 4 	 5 	 81 	 -2,2 	  
21:50 13.01.2019 	 2,8 	 3,02 	 3 	 4 	 80 	 -1,9 	  
21:40 13.01.2019 	 2,74 	 2,96 	 3 	 4 	 91 	 -2,1 	  
21:30 13.01.2019 	 2,68 	 2,92 	 3 	 4 	 95 	 -2,5 	  
21:20 13.01.2019 	 2,61 	 2,88 	 3 	 4 	 110 	 -2,4 	  
21:10 13.01.2019 	 2,55 	 2,8 	 3 	 3 	 112 	 -2,6 	  
21:00 13.01.2019 	 2,47 	 2,77 	 3 	 4 	 108 	 -2,5 	  
20:50 13.01.2019 	 2,4 	 2,7 	 3 	 4 	 119 	 -2,6 	  
20:40 13.01.2019 	 2,33 	 2,6 	 3 	 4 	 125 	 -2,5 	  
20:30 13.01.2019 	 2,25 	 2,54 	 3 	 4 	 130 	 -3 	  
20:20 13.01.2019 	 2,17 	 2,44 	 3 	 4 	 134 	 -3,2 	  
20:10 13.01.2019 	 2,1 	 2,34 	 4 	 4 	 135 	 -3,2 	  
20:00 13.01.2019 	 2,02 	 2,26 	 3 	 4 	 137 	 -3,1 	  
19:50 13.01.2019 	 1,95 	 2,17 	 3 	 4 	 120 	 -3 	  
19:40 13.01.2019 	 1,87 	 2,08 	 3 	 4 	 107 	 -3 	  
19:30 13.01.2019 	 1,8 	 1,98 	 3 	 4 	 101 	 -2,9 	  
19:20 13.01.2019 	 1,73 	 1,89 	 3 	 4 	 105 	 -2,6 	  
19:10 13.01.2019 	 1,66 	 1,79 	 3 	 4 	 95 	 -2,9 	  
19:00 13.01.2019 	 1,6 	 1,72 	 3 	 3 	 92 	 -3 	  
18:50 13.01.2019 	 1,54 	 1,63 	 2 	 3 	 104 	 -3,1 	  
18:40 13.01.2019 	 1,48 	 1,59 	 2 	 3 	 132 	 -3,2 	  
18:30 13.01.2019 	 1,43 	 1,51 	 3 	 3 	 134 	 -2,9 	  
18:20 13.01.2019 	 1,39 	 1,45 	 3 	 3 	 127 	 -2,8 	  
18:10 13.01.2019 	 1,35 	 1,4 	 2 	 3 	 130 	 -2,5 	  
18:00 13.01.2019 	 1,31 	 1,37 	 2 	 3 	 129 	 -2,4 	  
17:50 13.01.2019 	 1,28 	 1,33 	 2 	 2 	 140 	 -1,9 	  
17:40 13.01.2019 	 1,26 	 1,33 	 2 	 3 	 142 	 -2 	  
17:30 13.01.2019 	 1,25 	 1,34 	 2 	 2 	 139 	 -1,9 	  
17:20 13.01.2019 	 1,24 	 1,34 	 1 	 2 	 150 	 -1,9 	  
17:10 13.01.2019 	 1,25 	 1,33 	 1 	 2 	 154 	 -1,9 	  
17:00 13.01.2019 	 1,25 	 1,36 	 1 	 2 	 163 	 -1,9 	  
16:50 13.01.2019 	 1,27 	 1,37 	 2 	 3 	 178 	 -1,8 	  
16:40 13.01.2019 	 1,29 	 1,41 	 2 	 2 	 155 	 -1,8 	  
16:30 13.01.2019 	 1,32 	 1,44 	 1 	 2 	 167 	 -1,8 	  
16:20 13.01.2019 	 1,36 	 1,47 	 2 	 3 	 176 	 -1,7 	  
16:10 13.01.2019 	 1,4 	 1,52 	 2 	 3 	 174 	 -1,7 	  
16:00 13.01.2019 	 1,45 	 1,58 	 3 	 4 	 148 	 -1,7 	  
15:50 13.01.2019 	 1,51 	 1,62 	 2 	 3 	 149 	 -1,4 	  
15:40 13.01.2019 	 1,57 	 1,7 	 2 	 3 	 150 	 -1,4 	  
15:30 13.01.2019 	 1,63 	 1,75 	 2 	 4 	 152 	 -1,3 	  
15:20 13.01.2019 	 1,7 	 1,81 	 2 	 3 	 163 	 -1 	  
15:10 13.01.2019 	 1,78 	 1,86 	 3 	 3 	 147 	 -0,9 	  
15:00 13.01.2019 	 1,85 	 1,94 	 2 	 3 	 125 	 -0,9 	  
14:50 13.01.2019 	 1,93 	 2,02 	 1 	 3 	 68 	 -0,3 	  
14:40 13.01.2019 	 2,01 	 2,09 	 3 	 4 	 11 	 -0,2 	  
14:30 13.01.2019 	 2,1 	 2,17 	 3 	 5 	 27 	 -0,2 	  
14:20 13.01.2019 	 2,18 	 2,27 	 4 	 5 	 8 	 -0,2 	  
14:10 13.01.2019 	 2,26 	 2,36 	 4 	 6 	 359 	 -0,1 	  
14:00 13.01.2019 	 2,35 	 2,43 	 4 	 5 	 2 	 -0 	  
13:50 13.01.2019 	 2,43 	 2,54 	 4 	 5 	 0 	 -0,1 	  
13:40 13.01.2019 	 2,51 	 2,64 	 4 	 6 	 342 	 -0,1 	  
13:30 13.01.2019 	 2,59 	 2,74 	 4 	 5 	 343 	 -0,1 	  
13:20 13.01.2019 	 2,67 	 2,82 	 3 	 5 	 342 	 0 	  
13:10 13.01.2019 	 2,74 	 2,92 	 5 	 6 	 331 	 0,1 	  
13:00 13.01.2019 	 2,82 	 2,98 	 5 	 6 	 333 	 0,3 	  
12:50 13.01.2019 	 2,88 	 3,07 	 5 	 6 	 343 	 0,3 	  
12:40 13.01.2019 	 2,95 	 3,13 	 5 	 6 	 337 	 0,5 	  
12:30 13.01.2019 	 3,01 	 3,19 	 6 	 8 	 332 	 0,4 	  
12:20 13.01.2019 	 3,06 	 3,26 	 6 	 7 	 338 	 0,8 	  
12:10 13.01.2019 	 3,11 	 3,33 	 5 	 7 	 329 	 0,7 	  
12:00 13.01.2019 	 3,16 	 3,39 	 6 	 8 	 332 	 0,4 	  
11:50 13.01.2019 	 3,19 	 3,44 	 6 	 8 	 336 	 0,6 	  
11:40 13.01.2019 	 3,23 	 3,49 	 6 	 8 	 334 	 0,5 	  
11:30 13.01.2019 	 3,25 	 3,49 	 6 	 9 	 326 	 0,9 	  
11:20 13.01.2019 	 3,27 	 3,49 	 6 	 7 	 323 	 0,8 	  
11:10 13.01.2019 	 3,28 	 3,49 	 6 	 7 	 324 	 0,8 	  
11:00 13.01.2019 	 3,29 	 3,48 	 6 	 8 	 333 	 1 	  
10:50 13.01.2019 	 3,29 	 3,49 	 6 	 8 	 336 	 1,1 	  
10:40 13.01.2019 	 3,28 	 3,45 	 6 	 8 	 331 	 1,2 	  
10:30 13.01.2019 	 3,26 	 3,42 	 6 	 8 	 339 	 0,9 	  
10:20 13.01.2019 	 3,24 	 3,39 	 7 	 9 	 350 	 1 	  
10:10 13.01.2019 	 3,22 	 3,35 	 7 	 10 	 354 	 1,2 	  
10:00 13.01.2019 	 3,18 	 3,34 	 7 	 10 	 353 	 1,2 	  
09:50 13.01.2019 	 3,14 	 3,31 	 8 	 10 	 348 	 1,3 	  
09:40 13.01.2019 	 3,1 	 3,28 	 9 	 12 	 344 	 1,4 	  
09:30 13.01.2019 	 3,05 	 3,24 	 10 	 13 	 339 	 1,6 	  
09:20 13.01.2019 	 3 	 3,18 	 11 	 12 	 336 	 1,5 	  
09:10 13.01.2019 	 2,94 	 3,11 	 11 	 13 	 336 	 1,9 	  
09:00 13.01.2019 	 2,87 	 3,05 	 8 	 11 	 357 	 1,8 	  
08:50 13.01.2019 	 2,81 	 3,01 	 6 	 11 	 7 	 1,8 	  
08:40 13.01.2019 	 2,73 	 2,96 	 5 	 9 	 348 	 1,9 	  
08:30 13.01.2019 	 2,66 	 2,9 	 5 	 7 	 342 	 2 	  
08:20 13.01.2019 	 2,58 	 2,85 	 5 	 8 	 6 	 1,9 	  
08:10 13.01.2019 	 2,51 	 2,75 	 7 	 9 	 3 	 2 	  
08:00 13.01.2019 	 2,43 	 2,68 	 8 	 10 	 354 	 2 	  
07:50 13.01.2019 	 2,34 	 2,58 	 8 	 11 	 358 	 2 	  
07:40 13.01.2019 	 2,26 	 2,5 	 7 	 10 	 359 	 2,1 	  
07:30 13.01.2019 	 2,18 	 2,42 	 7 	 10 	 1 	 1,9 	  
07:20 13.01.2019 	 2,1 	 2,33 	 6 	 9 	 349 	 2,2 	  
07:10 13.01.2019 	 2,02 	 2,23 	 6 	 9 	 343 	 2,3 	  
07:00 13.01.2019 	 1,94 	 2,14 	 6 	 9 	 341 	 2,3 	  
06:50 13.01.2019 	 1,86 	 2,02 	 5 	 7 	 350 	 2 	  
06:40 13.01.2019 	 1,78 	 1,93 	 6 	 8 	 354 	 2,2 	  
06:30 13.01.2019 	 1,71 	 1,87 	 5 	 10 	 356 	 1,6 	  
06:20 13.01.2019 	 1,64 	 1,81 	 8 	 13 	 339 	 2,1 	  
06:10 13.01.2019 	 1,58 	 1,76 	 9 	 12 	 341 	 2 	  
06:00 13.01.2019 	 1,52 	 1,71 	 9 	 12 	 340 	 1,9 	  
05:50 13.01.2019 	 1,46 	 1,63 	 7 	 11 	 357 	 1,9 	  
05:40 13.01.2019 	 1,42 	 1,57 	 7 	 11 	 1 	 1,8 	  
05:30 13.01.2019 	 1,38 	 1,54 	 5 	 10 	 10 	 1,8 	  
05:20 13.01.2019 	 1,34 	 1,49 	 2 	 3 	 43 	 0,5 	  
05:10 13.01.2019 	 1,31 	 1,48 	 2 	 4 	 50 	 0,5 	  
05:00 13.01.2019 	 1,29 	 1,46 	 2 	 3 	 70 	 1 	  
04:50 13.01.2019 	 1,28 	 1,46 	 4 	 6 	 42 	 0,9 	  
04:40 13.01.2019 	 1,27 	 1,47 	 6 	 9 	 352 	 2 	  
04:30 13.01.2019 	 1,28 	 1,46 	 6 	 8 	 6 	 1,8 	  
04:20 13.01.2019 	 1,29 	 1,48 	 3 	 8 	 8 	 1,8 	  
04:10 13.01.2019 	 1,31 	 1,49 	 1 	 3 	 59 	 1 	  
04:00 13.01.2019 	 1,33 	 1,53 	 2 	 3 	 116 	 0,4 	  
03:50 13.01.2019 	 1,36 	 1,57 	 2 	 3 	 145 	 0,4 	  
03:40 13.01.2019 	 1,4 	 1,62 	 0 	 1 	 113 	 0,4 	  
03:30 13.01.2019 	 1,45 	 1,67 	 0 	 1 	 110 	 0,4 	  
03:20 13.01.2019 	 1,5 	 1,71 	 2 	 3 	 68 	 0,6 	  
03:10 13.01.2019 	 1,56 	 1,74 	 1 	 3 	 103 	 0,8 	  
03:00 13.01.2019 	 1,62 	 1,79 	 2 	 3 	 115 	 1,2 	  
02:50 13.01.2019 	 1,69 	 1,85 	 2 	 3 	 102 	 1 	  
02:40 13.01.2019 	 1,76 	 1,95 	 2 	 3 	 73 	 1 	  
02:30 13.01.2019 	 1,84 	 2,02 	 2 	 3 	 35 	 1,1 	  
02:20 13.01.2019 	 1,92 	 2,09 	 3 	 4 	 37 	 1 	  
02:10 13.01.2019 	 2 	 2,17 	 3 	 4 	 53 	 1,2 	  
02:00 13.01.2019 	 2,08 	 2,23 	 2 	 3 	 64 	 1,2 	  
01:50 13.01.2019 	 2,16 	 2,3 	 2 	 3 	 50 	 1,2 	  
01:40 13.01.2019 	 2,24 	 2,39 	 2 	 3 	 12 	 1,3 	  
01:30 13.01.2019 	 2,33 	 2,47 	 3 	 4 	 338 	 1,3 	  
01:20 13.01.2019 	 2,41 	 2,58 	 3 	 4 	 334 	 1,4 	  
01:10 13.01.2019 	 2,49 	 2,71 	 2 	 3 	 315 	 1,4 	  
01:00 13.01.2019 	 2,57 	 2,81 	 2 	 4 	 297 	 1,3 	  
00:50 13.01.2019 	 2,65 	 2,91 	 3 	 4 	 296 	 1,4 	  
00:40 13.01.2019 	 2,72 	 3,01 	 3 	 4 	 296 	 1,4 	  
00:30 13.01.2019 	 2,79 	 3,06 	 2 	 3 	 293 	 1,4 	  
00:20 13.01.2019 	 2,86 	 3,14 	 1 	 2 	 311 	 1,4 	  
00:10 13.01.2019 	 2,92 	 3,22 	 2 	 3 	 296 	 1,5 	  
00:00 13.01.2019 	 2,97 	 3,28 	 3 	 4 	 301 	 1,6 	  
23:50 12.01.2019 	 3,02 	 3,36 	 3 	 4 	 305 	 1,6 	  
23:40 12.01.2019 	 3,07 	 3,4 	 3 	 4 	 313 	 1,6 	  
23:30 12.01.2019 	 3,11 	 3,42 	 4 	 5 	 313 	 1,6 	  
23:20 12.01.2019 	 3,14 	 3,43 	 3 	 4 	 312 	 1,7 	  
23:10 12.01.2019 	 3,17 	 3,44 	 3 	 4 	 309 	 1,6 	  
23:00 12.01.2019 	 3,19 	 3,46 	 2 	 3 	 308 	 1,6 	  
22:50 12.01.2019 	 3,2 	 3,49 	 2 	 3 	 305 	 1,5 	  
22:40 12.01.2019 	 3,2 	 3,52 	 2 	 3 	 319 	 1,5 	  
22:30 12.01.2019 	 3,2 	 3,51 	 3 	 3 	 329 	 1,5 	  
22:20 12.01.2019 	 3,19 	 3,52 	 4 	 4 	 327 	 1,5 	  
22:10 12.01.2019 	 3,17 	 3,47 	 4 	 5 	 327 	 1,6 	  
22:00 12.01.2019 	 3,15 	 3,45 	 5 	 6 	 333 	 1,5 	  
21:50 12.01.2019 	 3,12 	 3,42 	 6 	 6 	 343 	 1,5 	  
21:40 12.01.2019 	 3,08 	 3,39 	 5 	 7 	 339 	 1,4 	  
21:30 12.01.2019 	 3,04 	 3,38 	 5 	 6 	 333 	 1,5 	  
21:20 12.01.2019 	 2,99 	 3,35 	 3 	 5 	 327 	 1,8 	  
21:10 12.01.2019 	 2,93 	 3,29 	 2 	 3 	 344 	 1,7 	  
21:00 12.01.2019 	 2,87 	 3,22 	 2 	 3 	 15 	 1,8 	  
20:50 12.01.2019 	 2,81 	 3,14 	 2 	 4 	 46 	 1,8 	  
20:40 12.01.2019 	 2,74 	 3,08 	 2 	 3 	 58 	 1,7 	  
20:30 12.01.2019 	 2,66 	 3,04 	 2 	 4 	 45 	 1,6 	  
20:20 12.01.2019 	 2,58 	 2,98 	 3 	 4 	 53 	 1,6 	  
20:10 12.01.2019 	 2,5 	 2,94 	 4 	 5 	 77 	 1,7 	  
20:00 12.01.2019 	 2,42 	 2,85 	 4 	 5 	 89 	 1,6 	  
19:50 12.01.2019 	 2,34 	 2,75 	 4 	 5 	 77 	 1,6 	  
19:40 12.01.2019 	 2,25 	 2,63 	 4 	 5 	 66 	 1,5 	  
19:30 12.01.2019 	 2,16 	 2,55 	 4 	 5 	 63 	 1,3 	  
19:20 12.01.2019 	 2,07 	 2,45 	 4 	 6 	 68 	 1,3 	  
19:10 12.01.2019 	 1,99 	 2,41 	 4 	 5 	 75 	 1,3 	  
19:00 12.01.2019 	 1,9 	 2,31 	 3 	 5 	 79 	 1,1 	  
18:50 12.01.2019 	 1,81 	 2,18 	 4 	 5 	 74 	 1,2 	  
18:40 12.01.2019 	 1,73 	 2,04 	 4 	 5 	 76 	 1,3 	  
18:30 12.01.2019 	 1,65 	 1,92 	 4 	 5 	 76 	 1,3 	  
18:20 12.01.2019 	 1,57 	 1,84 	 4 	 6 	 78 	 1,4 	  
18:10 12.01.2019 	 1,5 	 1,76 	 5 	 6 	 74 	 1,5 	  
18:00 12.01.2019 	 1,43 	 1,7 	 5 	 6 	 72 	 1,4 	  
17:50 12.01.2019 	 1,37 	 1,63 	 5 	 6 	 71 	 1,4 	  
17:40 12.01.2019 	 1,31 	 1,57 	 5 	 6 	 72 	 1,4 	  
17:30 12.01.2019 	 1,26 	 1,49 	 5 	 7 	 74 	 1,5 	  
17:20 12.01.2019 	 1,21 	 1,46 	 5 	 7 	 78 	 1,6 	  
17:10 12.01.2019 	 1,17 	 1,44 	 5 	 7 	 82 	 1,6 	  
17:00 12.01.2019 	 1,14 	 1,42 	 5 	 7 	 88 	 1,7 	  
16:50 12.01.2019 	 1,12 	 1,43 	 5 	 6 	 94 	 1,8 	  
16:40 12.01.2019 	 1,11 	 1,42 	 5 	 6 	 96 	 1,7 	  
16:30 12.01.2019 	 1,11 	 1,43 	 4 	 5 	 96 	 1,7 	  
16:20 12.01.2019 	 1,11 	 1,44 	 4 	 5 	 94 	 1,5 	  
16:10 12.01.2019 	 1,12 	 1,45 	 4 	 5 	 92 	 1,4 	  
16:00 12.01.2019 	 1,15 	 1,47 	 5 	 6 	 84 	 1,4 	  
15:50 12.01.2019 	 1,18 	 1,46 	 5 	 7 	 80 	 1,3 	  
15:40 12.01.2019 	 1,22 	 1,51 	 5 	 6 	 83 	 1,3 	  
15:30 12.01.2019 	 1,26 	 1,55 	 5 	 6 	 84 	 1,3 	  
15:20 12.01.2019 	 1,32 	 1,61 	 5 	 6 	 83 	 1,1 	  
15:10 12.01.2019 	 1,38 	 1,67 	 5 	 7 	 79 	 1,1 	  
15:00 12.01.2019 	 1,44 	 1,74 	 6 	 7 	 73 	 1,2 	  
14:50 12.01.2019 	 1,52 	 1,8 	 6 	 8 	 72 	 1,2 	  
14:40 12.01.2019 	 1,59 	 1,87 	 7 	 8 	 73 	 1,1 	  
